TimeID,Hour,TimeGroup
733,18.0,Evening
734,18.0,Evening
735,7.0,Morning
736,7.0,Morning
737,10.0,Morning
738,16.0,Afternoon
739,18.0,Evening
740,9.0,Morning
741,13.0,Afternoon
742,15.0,Afternoon
743,0.0,Early Morning
744,6.0,Morning
745,11.0,Morning
746,16.0,Afternoon
747,20.0,Evening
748,6.0,Morning
749,13.0,Afternoon
750,14.0,Afternoon
751,15.0,Afternoon
752,16.0,Afternoon
753,20.0,Evening
754,23.0,Night
755,1.0,Early Morning
756,10.0,Morning
757,17.0,Afternoon
758,19.0,Evening
759,21.0,Night
760,19.0,Evening
761,4.0,Early Morning
762,15.0,Afternoon
763,21.0,Night
764,16.0,Afternoon
765,18.0,Evening
766,16.0,Afternoon
767,18.0,Evening
768,19.0,Evening
769,22.0,Night
770,23.0,Night
771,11.0,Morning
772,16.0,Afternoon
773,10.0,Morning
774,12.0,Afternoon
775,20.0,Evening
776,1.0,Early Morning
777,13.0,Afternoon
778,21.0,Night
779,12.0,Afternoon
780,0.0,Early Morning
781,14.0,Afternoon
782,19.0,Evening
783,23.0,Night
784,9.0,Morning
785,16.0,Afternoon
786,22.0,Night
787,8.0,Morning
788,10.0,Morning
789,12.0,Afternoon
790,20.0,Evening
791,13.0,Afternoon
792,14.0,Afternoon
793,21.0,Night
794,21.0,Night
795,21.0,Night
796,0.0,Early Morning
797,19.0,Evening
798,5.0,Early Morning
799,16.0,Afternoon
800,20.0,Evening
801,19.0,Evening
802,2.0,Early Morning
803,17.0,Afternoon
804,4.0,Early Morning
805,9.0,Morning
806,18.0,Evening
807,19.0,Evening
808,20.0,Evening
809,10.0,Morning
810,23.0,Night
811,22.0,Night
812,8.0,Morning
813,16.0,Afternoon
814,21.0,Night
815,2.0,Early Morning
816,13.0,Afternoon
817,2.0,Early Morning
818,6.0,Morning
819,18.0,Evening
820,19.0,Evening
821,3.0,Early Morning
822,7.0,Morning
823,8.0,Morning
824,8.0,Morning
825,13.0,Afternoon
826,3.0,Early Morning
827,22.0,Night
828,23.0,Night
829,20.0,Evening
830,3.0,Early Morning
831,17.0,Afternoon
832,2.0,Early Morning
833,6.0,Morning
834,17.0,Afternoon
835,20.0,Evening
836,2.0,Early Morning
837,6.0,Morning
838,23.0,Night
839,1.0,Early Morning
840,18.0,Evening
841,18.0,Evening
842,1.0,Early Morning
843,16.0,Afternoon
844,0.0,Early Morning
845,7.0,Morning
846,15.0,Afternoon
847,19.0,Evening
848,23.0,Night
849,7.0,Morning
850,11.0,Morning
851,19.0,Evening
852,8.0,Morning
853,8.0,Morning
854,16.0,Afternoon
855,18.0,Evening
856,8.0,Morning
857,13.0,Afternoon
858,14.0,Afternoon
859,1.0,Early Morning
860,6.0,Morning
861,10.0,Morning
862,15.0,Afternoon
863,3.0,Early Morning
864,15.0,Afternoon
865,20.0,Evening
866,11.0,Morning
867,17.0,Afternoon
868,7.0,Morning
869,12.0,Afternoon
870,0.0,Early Morning
871,8.0,Morning
872,0.0,Early Morning
873,13.0,Afternoon
874,7.0,Morning
875,8.0,Morning
876,17.0,Afternoon
877,17.0,Afternoon
878,21.0,Night
879,5.0,Early Morning
880,10.0,Morning
881,12.0,Afternoon
882,12.0,Afternoon
883,1.0,Early Morning
884,19.0,Evening
885,5.0,Early Morning
886,6.0,Morning
887,15.0,Afternoon
888,4.0,Early Morning
889,18.0,Evening
890,19.0,Evening
891,17.0,Afternoon
892,18.0,Evening
893,6.0,Morning
894,11.0,Morning
895,0.0,Early Morning
896,3.0,Early Morning
897,18.0,Evening
898,0.0,Early Morning
899,3.0,Early Morning
900,23.0,Night
901,20.0,Evening
902,14.0,Afternoon
903,0.0,Early Morning
904,6.0,Morning
905,9.0,Morning
906,11.0,Morning
907,12.0,Afternoon
908,1.0,Early Morning
909,3.0,Early Morning
910,14.0,Afternoon
911,14.0,Afternoon
912,17.0,Afternoon
913,20.0,Evening
914,16.0,Afternoon
915,21.0,Night
916,20.0,Evening
917,9.0,Morning
918,16.0,Afternoon
919,2.0,Early Morning
920,20.0,Evening
921,12.0,Afternoon
922,16.0,Afternoon
923,1.0,Early Morning
924,16.0,Afternoon
925,4.0,Early Morning
926,7.0,Morning
927,13.0,Afternoon
928,23.0,Night
929,8.0,Morning
930,11.0,Morning
931,21.0,Night
932,11.0,Morning
933,16.0,Afternoon
934,13.0,Afternoon
935,17.0,Afternoon
936,5.0,Early Morning
937,0.0,Early Morning
938,11.0,Morning
939,2.0,Early Morning
940,7.0,Morning
941,19.0,Evening
942,2.0,Early Morning
943,23.0,Night
944,14.0,Afternoon
945,17.0,Afternoon
946,17.0,Afternoon
947,18.0,Evening
948,7.0,Morning
949,3.0,Early Morning
950,6.0,Morning
951,23.0,Night
952,7.0,Morning
953,7.0,Morning
954,8.0,Morning
955,22.0,Night
956,10.0,Morning
957,23.0,Night
958,10.0,Morning
959,7.0,Morning
960,9.0,Morning
961,13.0,Afternoon
962,22.0,Night
963,8.0,Morning
964,6.0,Morning
965,8.0,Morning
966,11.0,Morning
967,11.0,Morning
968,16.0,Afternoon
969,20.0,Evening
970,14.0,Afternoon
971,22.0,Night
972,1.0,Early Morning
973,7.0,Morning
974,3.0,Early Morning
975,8.0,Morning
976,20.0,Evening
977,21.0,Night
978,5.0,Early Morning
979,1.0,Early Morning
980,11.0,Morning
981,13.0,Afternoon
982,9.0,Morning
983,11.0,Morning
984,17.0,Afternoon
985,23.0,Night
986,10.0,Morning
987,2.0,Early Morning
988,6.0,Morning
989,9.0,Morning
990,1.0,Early Morning
991,10.0,Morning
992,18.0,Evening
993,10.0,Morning
994,21.0,Night
995,1.0,Early Morning
996,14.0,Afternoon
997,10.0,Morning
998,16.0,Afternoon
999,10.0,Morning
1000,17.0,Afternoon
1001,22.0,Night
1002,18.0,Evening
1003,1.0,Early Morning
1004,15.0,Afternoon
1005,1.0,Early Morning
1006,4.0,Early Morning
1007,10.0,Morning
1008,10.0,Morning
1009,22.0,Night
1010,22.0,Night
1011,3.0,Early Morning
1012,23.0,Night
1013,1.0,Early Morning
1014,20.0,Evening
1015,21.0,Night
1016,23.0,Night
1017,6.0,Morning
1018,3.0,Early Morning
1019,21.0,Night
1020,1.0,Early Morning
1021,19.0,Evening
1022,19.0,Evening
1023,9.0,Morning
1024,17.0,Afternoon
1025,23.0,Night
1026,0.0,Early Morning
1027,6.0,Morning
1028,11.0,Morning
1029,7.0,Morning
1030,18.0,Evening
1031,21.0,Night
1032,8.0,Morning
1033,8.0,Morning
1034,2.0,Early Morning
1035,11.0,Morning
1036,21.0,Night
1037,6.0,Morning
1038,22.0,Night
1039,22.0,Night
1040,3.0,Early Morning
1041,2.0,Early Morning
1042,17.0,Afternoon
1043,1.0,Early Morning
1044,5.0,Early Morning
1045,5.0,Early Morning
1046,3.0,Early Morning
1047,6.0,Morning
1048,3.0,Early Morning
1049,3.0,Early Morning
1050,19.0,Evening
1051,16.0,Afternoon
1052,2.0,Early Morning
1053,5.0,Early Morning
1054,17.0,Afternoon
1055,19.0,Evening
1056,12.0,Afternoon
1057,18.0,Evening
1058,13.0,Afternoon
1059,13.0,Afternoon
1060,10.0,Morning
1061,20.0,Evening
1062,18.0,Evening
1063,8.0,Morning
1064,11.0,Morning
1065,0.0,Early Morning
1066,14.0,Afternoon
1067,3.0,Early Morning
1068,7.0,Morning
1069,19.0,Evening
1070,23.0,Night
1071,2.0,Early Morning
1072,7.0,Morning
1073,4.0,Early Morning
1074,6.0,Morning
1075,13.0,Afternoon
1076,13.0,Afternoon
1077,22.0,Night
1078,5.0,Early Morning
1079,0.0,Early Morning
1080,6.0,Morning
1081,6.0,Morning
1082,15.0,Afternoon
1083,4.0,Early Morning
1084,4.0,Early Morning
1085,4.0,Early Morning
1086,15.0,Afternoon
1087,2.0,Early Morning
1088,22.0,Night
1089,3.0,Early Morning
1090,4.0,Early Morning
1091,5.0,Early Morning
1092,13.0,Afternoon
1093,14.0,Afternoon
1094,15.0,Afternoon
1095,18.0,Evening
1096,2.0,Early Morning
1097,5.0,Early Morning
1098,0.0,Early Morning
1099,23.0,Night
1100,4.0,Early Morning
1101,2.0,Early Morning
1102,22.0,Night
1103,6.0,Morning
1104,21.0,Night
1105,4.0,Early Morning
1106,21.0,Night
1107,10.0,Morning
1108,20.0,Evening
1109,5.0,Early Morning
1110,3.0,Early Morning
1111,17.0,Afternoon
1112,21.0,Night
1113,22.0,Night
1114,9.0,Morning
1115,15.0,Afternoon
1116,12.0,Afternoon
1117,2.0,Early Morning
1118,13.0,Afternoon
1119,11.0,Morning
1120,13.0,Afternoon
1121,20.0,Evening
1122,12.0,Afternoon
1123,15.0,Afternoon
1124,16.0,Afternoon
1125,5.0,Early Morning
1126,8.0,Morning
1127,8.0,Morning
1128,14.0,Afternoon
1129,14.0,Afternoon
1130,8.0,Morning
1131,15.0,Afternoon
1132,9.0,Morning
1133,10.0,Morning
1134,2.0,Early Morning
1135,0.0,Early Morning
1136,5.0,Early Morning
1137,5.0,Early Morning
1138,20.0,Evening
1139,0.0,Early Morning
1140,4.0,Early Morning
1141,1.0,Early Morning
1142,4.0,Early Morning
1143,17.0,Afternoon
1144,17.0,Afternoon
1145,9.0,Morning
1146,2.0,Early Morning
1147,3.0,Early Morning
1148,6.0,Morning
1149,2.0,Early Morning
1150,7.0,Morning
1151,12.0,Afternoon
1152,11.0,Morning
1153,7.0,Morning
1154,7.0,Morning
1155,4.0,Early Morning
1156,10.0,Morning
1157,22.0,Night
1158,7.0,Morning
1159,12.0,Afternoon
1160,17.0,Afternoon
1161,9.0,Morning
1162,0.0,Early Morning
1163,2.0,Early Morning
1164,6.0,Morning
1165,14.0,Afternoon
1166,7.0,Morning
1167,3.0,Early Morning
1168,15.0,Afternoon
1169,5.0,Early Morning
1170,10.0,Morning
1171,1.0,Early Morning
1172,1.0,Early Morning
1173,19.0,Evening
1174,22.0,Night
1175,20.0,Evening
1176,15.0,Afternoon
1177,4.0,Early Morning
1178,5.0,Early Morning
1179,6.0,Morning
1180,22.0,Night
1181,4.0,Early Morning
1182,8.0,Morning
1183,5.0,Early Morning
1184,9.0,Morning
1185,23.0,Night
1186,8.0,Morning
1187,15.0,Afternoon
1188,9.0,Morning
1189,18.0,Evening
1190,19.0,Evening
1191,15.0,Afternoon
1192,7.0,Morning
1193,23.0,Night
1194,7.0,Morning
1195,6.0,Morning
1196,2.0,Early Morning
1197,12.0,Afternoon
1198,5.0,Early Morning
1199,21.0,Night
1200,22.0,Night
1201,22.0,Night
1202,4.0,Early Morning
1203,8.0,Morning
1204,22.0,Night
1205,1.0,Early Morning
1206,5.0,Early Morning
1207,2.0,Early Morning
1208,21.0,Night
1209,17.0,Afternoon
1210,1.0,Early Morning
1211,17.0,Afternoon
1212,18.0,Evening
1213,7.0,Morning
1214,8.0,Morning
1215,20.0,Evening
1216,6.0,Morning
1217,13.0,Afternoon
1218,6.0,Morning
1219,10.0,Morning
1220,4.0,Early Morning
1221,2.0,Early Morning
1222,3.0,Early Morning
1223,4.0,Early Morning
1224,8.0,Morning
1225,21.0,Night
1226,1.0,Early Morning
1227,17.0,Afternoon
1228,6.0,Morning
1229,0.0,Early Morning
1230,1.0,Early Morning
1231,17.0,Afternoon
1232,7.0,Morning
1233,14.0,Afternoon
1234,11.0,Morning
1235,0.0,Early Morning
1236,22.0,Night
1237,6.0,Morning
1238,8.0,Morning
1239,11.0,Morning
1240,21.0,Night
1241,7.0,Morning
1242,19.0,Evening
1243,0.0,Early Morning
1244,0.0,Early Morning
1245,1.0,Early Morning
1246,2.0,Early Morning
1247,18.0,Evening
1248,1.0,Early Morning
1249,20.0,Evening
1250,0.0,Early Morning
1251,4.0,Early Morning
1252,4.0,Early Morning
1253,5.0,Early Morning
1254,18.0,Evening
1255,11.0,Morning
1256,0.0,Early Morning
1257,7.0,Morning
1258,12.0,Afternoon
1259,3.0,Early Morning
1260,0.0,Early Morning
1261,11.0,Morning
1262,4.0,Early Morning
1263,2.0,Early Morning
1264,19.0,Evening
1265,0.0,Early Morning
1266,15.0,Afternoon
1267,3.0,Early Morning
1268,6.0,Morning
1269,9.0,Morning
1270,4.0,Early Morning
1271,10.0,Morning
1272,0.0,Early Morning
1273,2.0,Early Morning
1274,12.0,Afternoon
1275,3.0,Early Morning
1276,9.0,Morning
1277,5.0,Early Morning
1278,23.0,Night
1279,7.0,Morning
1280,19.0,Evening
1281,13.0,Afternoon
1282,2.0,Early Morning
1283,4.0,Early Morning
1284,18.0,Evening
1285,0.0,Early Morning
1286,0.0,Early Morning
1287,11.0,Morning
1288,21.0,Night
1289,20.0,Evening
1290,1.0,Early Morning
1291,9.0,Morning
1292,15.0,Afternoon
1293,22.0,Night
1294,21.0,Night
1295,9.0,Morning
1296,20.0,Evening
1297,20.0,Evening
1298,7.0,Morning
1299,16.0,Afternoon
1300,10.0,Morning
1301,2.0,Early Morning
1302,9.0,Morning
1303,1.0,Early Morning
1304,9.0,Morning
1305,2.0,Early Morning
1306,4.0,Early Morning
1307,9.0,Morning
1308,2.0,Early Morning
1309,2.0,Early Morning
1310,5.0,Early Morning
1311,11.0,Morning
1312,20.0,Evening
1313,22.0,Night
1314,14.0,Afternoon
1315,4.0,Early Morning
1316,1.0,Early Morning
1317,6.0,Morning
1318,16.0,Afternoon
1319,2.0,Early Morning
1320,23.0,Night
1321,10.0,Morning
1322,18.0,Evening
1323,0.0,Early Morning
1324,23.0,Night
1325,9.0,Morning
1326,20.0,Evening
1327,22.0,Night
1328,5.0,Early Morning
1329,1.0,Early Morning
1330,19.0,Evening
1331,8.0,Morning
1332,18.0,Evening
1333,23.0,Night
1334,1.0,Early Morning
1335,4.0,Early Morning
1336,18.0,Evening
1337,1.0,Early Morning
1338,6.0,Morning
1339,2.0,Early Morning
1340,5.0,Early Morning
1341,7.0,Morning
1342,6.0,Morning
1343,5.0,Early Morning
1344,17.0,Afternoon
1345,10.0,Morning
1346,8.0,Morning
1347,0.0,Early Morning
1348,3.0,Early Morning
1349,6.0,Morning
1350,0.0,Early Morning
1351,1.0,Early Morning
1352,5.0,Early Morning
1353,2.0,Early Morning
1354,3.0,Early Morning
1355,9.0,Morning
1356,1.0,Early Morning
1357,4.0,Early Morning
1358,8.0,Morning
1359,4.0,Early Morning
1360,8.0,Morning
1361,2.0,Early Morning
1362,4.0,Early Morning
1363,1.0,Early Morning
1364,3.0,Early Morning
1365,3.0,Early Morning
1366,15.0,Afternoon
1367,11.0,Morning
1368,1.0,Early Morning
1369,5.0,Early Morning
1370,4.0,Early Morning
1371,4.0,Early Morning
1372,3.0,Early Morning
1373,13.0,Afternoon
1374,3.0,Early Morning
1375,3.0,Early Morning
1376,20.0,Evening
1377,0.0,Early Morning
1378,5.0,Early Morning
1379,12.0,Afternoon
1380,20.0,Evening
1381,3.0,Early Morning
1382,13.0,Afternoon
1383,21.0,Night
1384,23.0,Night
1385,3.0,Early Morning
1386,3.0,Early Morning
1387,1.0,Early Morning
1388,22.0,Night
1389,7.0,Morning
1390,3.0,Early Morning
1391,22.0,Night
1392,21.0,Night
1393,9.0,Morning
1394,3.0,Early Morning
1395,0.0,Early Morning
1396,4.0,Early Morning
1397,5.0,Early Morning
1398,9.0,Morning
1399,10.0,Morning
1400,6.0,Morning
1401,22.0,Night
1402,4.0,Early Morning
1403,2.0,Early Morning
1404,18.0,Evening
1405,7.0,Morning
1406,2.0,Early Morning
1407,2.0,Early Morning
1408,3.0,Early Morning
1409,5.0,Early Morning
1410,22.0,Night
1411,19.0,Evening
1412,3.0,Early Morning
1413,23.0,Night
1414,1.0,Early Morning
1415,1.0,Early Morning
1416,4.0,Early Morning
1417,23.0,Night
1418,8.0,Morning
1419,3.0,Early Morning
1420,22.0,Night
1421,6.0,Morning
